prompt,intent
wake me up 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
set an alarm 3,alarm
set an alarm 4,alarm
set an alarm 0,alarm
set an alarm 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
set an alarm 4,alarm
morning alarm 0,alarm
alarm for tomorrow 1,alarm
morning alarm 2,alarm
set an alarm 3,alarm
alarm for tomorrow 4,alarm
wake me up 0,alarm
morning alarm 1,alarm
alarm for tomorrow 2,alarm
alarm for tomorrow 3,alarm
alarm for tomorrow 4,alarm
alarm for tomorrow 0,alarm
alarm for tomorrow 1,alarm
wake me up 2,alarm
morning alarm 3,alarm
alarm for tomorrow 4,alarm
set an alarm 0,alarm
morning alarm 1,alarm
morning alarm 2,alarm
alarm for tomorrow 3,alarm
wake me up 4,alarm
alarm for tomorrow 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
alarm for tomorrow 4,alarm
set an alarm 0,alarm
wake me up 1,alarm
wake me up 2,alarm
set an alarm 3,alarm
set an alarm 4,alarm
wake me up 0,alarm
alarm for tomorrow 1,alarm
wake me up 2,alarm
morning alarm 3,alarm
morning alarm 4,alarm
set an alarm 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
wake me up 4,alarm
wake me up 0,alarm
alarm for tomorrow 1,alarm
alarm for tomorrow 2,alarm
wake me up 3,alarm
alarm for tomorrow 4,alarm
wake me up 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
set an alarm 3,alarm
wake me up 4,alarm
wake me up 0,alarm
set an alarm 1,alarm
wake me up 2,alarm
alarm for tomorrow 3,alarm
alarm for tomorrow 4,alarm
set an alarm 0,alarm
wake me up 1,alarm
morning alarm 2,alarm
alarm for tomorrow 3,alarm
morning alarm 4,alarm
morning alarm 0,alarm
morning alarm 1,alarm
morning alarm 2,alarm
alarm for tomorrow 3,alarm
wake me up 4,alarm
wake me up 0,alarm
wake me up 1,alarm
set an alarm 2,alarm
wake me up 3,alarm
set an alarm 4,alarm
alarm for tomorrow 0,alarm
morning alarm 1,alarm
wake me up 2,alarm
alarm for tomorrow 3,alarm
wake me up 4,alarm
set an alarm 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
alarm for tomorrow 4,alarm
morning alarm 0,alarm
wake me up 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
wake me up 4,alarm
morning alarm 0,alarm
set an alarm 1,alarm
alarm for tomorrow 2,alarm
alarm for tomorrow 3,alarm
morning alarm 4,alarm
wake me up 0,alarm
alarm for tomorrow 1,alarm
alarm for tomorrow 2,alarm
alarm for tomorrow 3,alarm
set an alarm 4,alarm
set an alarm 0,alarm
wake me up 1,alarm
morning alarm 2,alarm
wake me up 3,alarm
morning alarm 4,alarm
wake me up 0,alarm
wake me up 1,alarm
wake me up 2,alarm
wake me up 3,alarm
set an alarm 4,alarm
morning alarm 0,alarm
wake me up 1,alarm
wake me up 2,alarm
morning alarm 3,alarm
set an alarm 4,alarm
set an alarm 0,alarm
set an alarm 1,alarm
alarm for tomorrow 2,alarm
wake me up 3,alarm
morning alarm 4,alarm
set an alarm 0,alarm
morning alarm 1,alarm
wake me up 2,alarm
wake me up 3,alarm
set an alarm 4,alarm
wake me up 0,alarm
wake me up 1,alarm
wake me up 2,alarm
wake me up 3,alarm
wake me up 4,alarm
wake me up 0,alarm
wake me up 1,alarm
set an alarm 2,alarm
morning alarm 3,alarm
alarm for tomorrow 4,alarm
alarm for tomorrow 0,alarm
alarm for tomorrow 1,alarm
wake me up 2,alarm
wake me up 3,alarm
set an alarm 4,alarm
set an alarm 0,alarm
alarm for tomorrow 1,alarm
wake me up 2,alarm
set an alarm 3,alarm
morning alarm 4,alarm
morning alarm 0,alarm
alarm for tomorrow 1,alarm
set an alarm 2,alarm
wake me up 3,alarm
wake me up 4,alarm
morning alarm 0,alarm
alarm for tomorrow 1,alarm
wake me up 2,alarm
wake me up 3,alarm
morning alarm 4,alarm
morning alarm 0,alarm
set an alarm 1,alarm
set an alarm 2,alarm
alarm for tomorrow 3,alarm
set an alarm 4,alarm
wake me up 0,alarm
morning alarm 1,alarm
set an alarm 2,alarm
set an alarm 3,alarm
morning alarm 4,alarm
start songs 0,play_music
play party music 1,play_music
start songs 2,play_music
play music 3,play_music
start songs 4,play_music
play music 0,play_music
play relaxing music 1,play_music
play relaxing music 2,play_music
start songs 3,play_music
play relaxing music 4,play_music
play music 0,play_music
play relaxing music 1,play_music
start songs 2,play_music
play party music 3,play_music
start songs 4,play_music
start songs 0,play_music
start songs 1,play_music
start songs 2,play_music
start songs 3,play_music
start songs 4,play_music
play music 0,play_music
play party music 1,play_music
play relaxing music 2,play_music
play relaxing music 3,play_music
play music 4,play_music
play party music 0,play_music
play party music 1,play_music
start songs 2,play_music
play music 3,play_music
play relaxing music 4,play_music
start songs 0,play_music
start songs 1,play_music
play relaxing music 2,play_music
play relaxing music 3,play_music
play music 4,play_music
play party music 0,play_music
start songs 1,play_music
play relaxing music 2,play_music
play party music 3,play_music
play party music 4,play_music
play music 0,play_music
start songs 1,play_music
play music 2,play_music
play relaxing music 3,play_music
play party music 4,play_music
start songs 0,play_music
start songs 1,play_music
play relaxing music 2,play_music
play party music 3,play_music
play music 4,play_music
play party music 0,play_music
play party music 1,play_music
play relaxing music 2,play_music
play relaxing music 3,play_music
play music 4,play_music
play relaxing music 0,play_music
play music 1,play_music
play party music 2,play_music
start songs 3,play_music
start songs 4,play_music
play party music 0,play_music
play party music 1,play_music
play music 2,play_music
play music 3,play_music
play relaxing music 4,play_music
play music 0,play_music
play party music 1,play_music
start songs 2,play_music
play music 3,play_music
play music 4,play_music
play relaxing music 0,play_music
start songs 1,play_music
start songs 2,play_music
play music 3,play_music
start songs 4,play_music
play relaxing music 0,play_music
start songs 1,play_music
play music 2,play_music
play music 3,play_music
play music 4,play_music
play party music 0,play_music
play relaxing music 1,play_music
play music 2,play_music
play party music 3,play_music
play relaxing music 4,play_music
start songs 0,play_music
play relaxing music 1,play_music
play music 2,play_music
start songs 3,play_music
play music 4,play_music
play relaxing music 0,play_music
start songs 1,play_music
play relaxing music 2,play_music
play music 3,play_music
play party music 4,play_music
start songs 0,play_music
play party music 1,play_music
start songs 2,play_music
play relaxing music 3,play_music
start songs 4,play_music
play music 0,play_music
play party music 1,play_music
play music 2,play_music
play relaxing music 3,play_music
play music 4,play_music
play music 0,play_music
play music 1,play_music
start songs 2,play_music
play party music 3,play_music
play party music 4,play_music
play party music 0,play_music
play party music 1,play_music
play music 2,play_music
start songs 3,play_music
play party music 4,play_music
play music 0,play_music
play relaxing music 1,play_music
play relaxing music 2,play_music
play music 3,play_music
start songs 4,play_music
start songs 0,play_music
play relaxing music 1,play_music
start songs 2,play_music
play party music 3,play_music
play relaxing music 4,play_music
play party music 0,play_music
play music 1,play_music
play party music 2,play_music
play party music 3,play_music
play party music 4,play_music
play party music 0,play_music
start songs 1,play_music
start songs 2,play_music
play music 3,play_music
play music 4,play_music
play music 0,play_music
play relaxing music 1,play_music
start songs 2,play_music
play party music 3,play_music
start songs 4,play_music
play relaxing music 0,play_music
play party music 1,play_music
start songs 2,play_music
play music 3,play_music
play party music 4,play_music
play relaxing music 0,play_music
play music 1,play_music
play music 2,play_music
play party music 3,play_music
play party music 4,play_music
play relaxing music 0,play_music
play relaxing music 1,play_music
start songs 2,play_music
start songs 3,play_music
play relaxing music 4,play_music
play party music 0,play_music
play party music 1,play_music
start songs 2,play_music
play music 3,play_music
start songs 4,play_music
play music 0,play_music
start songs 1,play_music
play relaxing music 2,play_music
start songs 3,play_music
start songs 4,play_music
start songs 0,play_music
start songs 1,play_music
start songs 2,play_music
start songs 3,play_music
play party music 4,play_music
tell a joke 0,jokes_fun
tell a joke 1,jokes_fun
another joke 2,jokes_fun
another joke 3,jokes_fun
make me laugh 4,jokes_fun
funny joke 0,jokes_fun
tell a joke 1,jokes_fun
make me laugh 2,jokes_fun
make me laugh 3,jokes_fun
make me laugh 4,jokes_fun
make me laugh 0,jokes_fun
another joke 1,jokes_fun
another joke 2,jokes_fun
another joke 3,jokes_fun
funny joke 4,jokes_fun
funny joke 0,jokes_fun
funny joke 1,jokes_fun
tell a joke 2,jokes_fun
another joke 3,jokes_fun
make me laugh 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
make me laugh 2,jokes_fun
tell a joke 3,jokes_fun
funny joke 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
tell a joke 2,jokes_fun
tell a joke 3,jokes_fun
make me laugh 4,jokes_fun
another joke 0,jokes_fun
